Round		Edge-Cut		Swaps		Migrations
289		2184		297260		1497
290		2183		298143		1499
291		2182		299027		1500
292		2182		299909		1500
293		2181		300790		1499
294		2181		301670		1499
295		2181		302550		1499
296		2180		303429		1500
297		2179		304306		1499
298		2179		305182		1499
299		2179		306058		1499
300		2179		306934		1499
301		2178		307809		1501
302		2177		308682		1500
303		2177		309554		1500
304		2177		310426		1500
305		2177		311298		1500
306		2176		312171		1498
307		2175		313042		1498
308		2174		313911		1497
309		2174		314779		1497
310		2174		315647		1497
311		2174		316515		1497
312		2174		317383		1497
313		2173		318250		1498
314		2173		319116		1498
315		2173		319982		1498
316		2173		320848		1498
317		2173		321714		1498
318		2173		322580		1498
319		2173		323446		1498
320		2173		324312		1498
321		2172		325179		1496
322		2172		326043		1496
323		2172		326907		1496
324		2172		327771		1496
325		2172		328635		1496
326		2172		329499		1496
327		2171		330362		1498
328		2171		331224		1498
329		2171		332086		1498
330		2171		332948		1498
331		2171		333810		1498
332		2171		334672		1498
333		2171		335534		1498
334		2171		336396		1498
335		2171		337258		1498
336		2171		338120		1498
337		2171		338982		1498
338		2171		339844		1498
339		2171		340706		1498
340		2171		341568		1498
341		2171		342430		1498
342		2170		343291		1498
343		2169		344150		1500
344		2168		345007		1500
345		2168		345863		1500
346		2168		346719		1500
347		2167		347574		1501
348		2167		348428		1501
349		2167		349282		1501
350		2167		350136		1501
351		2167		350990		1501
352		2167		351844		1501
353		2167		352698		1501
354		2167		353552		1501
355		2167		354406		1501
356		2167		355260		1501
357		2167		356114		1501
358		2167		356968		1501
359		2167		357822		1501
360		2167		358676		1501
361		2167		359530		1501
362		2166		360383		1501
363		2166		361235		1501
364		2166		362087		1501
365		2166		362939		1501
366		2166		363791		1501
367		2166		364643		1501
368		2166		365495		1501
369		2166		366347		1501
370		2166		367199		1501
371		2166		368051		1501
372		2166		368903		1501
373		2165		369754		1503
374		2165		370604		1503
375		2165		371454		1503
376		2165		372304		1503
377		2165		373154		1503
378		2165		374004		1503
379		2165		374854		1503
380		2165		375704		1503
381		2165		376554		1503
382		2165		377404		1503
383		2165		378254		1503
384		2165		379104		1503
385		2165		379954		1503
386		2165		380804		1503
387		2165		381654		1503
388		2164		382503		1502
389		2164		383351		1502
390		2164		384199		1502
391		2164		385047		1502
392		2164		385895		1502
